June 14, 2026   14:50:38
A.C. Impedance
File: e:\chi_data\6.14Data Source:  Experiment
Instrument Model:  CHI660E
Ref. Electrode: 
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz	Z'/ohm	Z"/ohm	Z/ohm	Phase/deg

8.252e+5	5.133e+0	1.395e+1	1.486e+1	69.8
6.816e+5	4.607e+0	1.128e+1	1.218e+1	67.8
5.625e+5	3.931e+0	9.350e+0	1.014e+1	67.2
4.639e+5	3.695e+0	7.621e+0	8.470e+0	64.1
3.828e+5	3.491e+0	6.316e+0	7.217e+0	61.1
3.164e+5	3.415e+0	5.180e+0	6.204e+0	56.6
2.607e+5	3.331e+0	4.258e+0	5.406e+0	52.0
2.158e+5	3.282e+0	3.458e+0	4.767e+0	46.5
1.777e+5	3.246e+0	2.777e+0	4.271e+0	40.5
1.465e+5	3.232e+0	2.192e+0	3.905e+0	34.1
1.211e+5	3.217e+0	1.712e+0	3.644e+0	28.0
9.961e+4	3.223e+0	1.309e+0	3.479e+0	22.1
8.252e+4	3.244e+0	9.663e-1	3.385e+0	16.6
6.812e+4	3.278e+0	6.617e-1	3.344e+0	11.4
5.625e+4	3.320e+0	3.900e-1	3.343e+0	6.7
4.644e+4	3.371e+0	1.423e-1	3.374e+0	2.4
3.833e+4	3.428e+0	-8.472e-2	3.429e+0	-1.4
3.164e+4	3.493e+0	-2.984e-1	3.505e+0	-4.9
2.612e+4	3.567e+0	-5.026e-1	3.602e+0	-8.0
2.153e+4	3.649e+0	-6.988e-1	3.716e+0	-10.8
1.777e+4	3.741e+0	-8.940e-1	3.846e+0	-13.4
1.470e+4	3.841e+0	-1.096e+0	3.994e+0	-15.9
1.211e+4	3.952e+0	-1.310e+0	4.163e+0	-18.3
1.001e+4	4.073e+0	-1.539e+0	4.354e+0	-20.7
8.252e+3	4.207e+0	-1.787e+0	4.570e+0	-23.0
6.812e+3	4.352e+0	-2.060e+0	4.815e+0	-25.3
5.625e+3	4.509e+0	-2.366e+0	5.092e+0	-27.7
