June 14, 2026   19:42:10
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Ref. Electrode: 
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz	Z'/ohm	Z"/ohm	Z/ohm	Phase/deg

8.252e+5	1.009e+1	1.312e+1	1.655e+1	52.4
6.816e+5	9.450e+0	1.063e+1	1.422e+1	48.4
5.625e+5	8.878e+0	8.815e+0	1.251e+1	44.8
4.639e+5	8.664e+0	7.154e+0	1.124e+1	39.5
3.828e+5	8.540e+0	5.892e+0	1.038e+1	34.6
3.164e+5	8.495e+0	4.788e+0	9.751e+0	29.4
2.607e+5	8.425e+0	3.901e+0	9.284e+0	24.8
2.158e+5	8.374e+0	3.126e+0	8.939e+0	20.5
1.777e+5	8.366e+0	2.427e+0	8.711e+0	16.2
1.465e+5	8.378e+0	1.829e+0	8.575e+0	12.3
1.211e+5	8.378e+0	1.346e+0	8.486e+0	9.1
9.961e+4	8.395e+0	9.295e-1	8.446e+0	6.3
8.252e+4	8.434e+0	5.721e-1	8.453e+0	3.9
6.812e+4	8.504e+0	2.393e-1	8.507e+0	1.6
5.625e+4	8.588e+0	-7.656e-2	8.588e+0	-0.5
4.644e+4	8.677e+0	-3.841e-1	8.686e+0	-2.5
3.833e+4	8.780e+0	-6.731e-1	8.806e+0	-4.4
3.164e+4	8.906e+0	-9.470e-1	8.956e+0	-6.1
2.612e+4	9.047e+0	-1.214e+0	9.128e+0	-7.6
2.153e+4	9.195e+0	-1.477e+0	9.313e+0	-9.1
1.777e+4	9.365e+0	-1.750e+0	9.527e+0	-10.6
1.470e+4	9.556e+0	-2.038e+0	9.771e+0	-12.0
1.211e+4	9.762e+0	-2.343e+0	1.004e+1	-13.5
1.001e+4	9.989e+0	-2.677e+0	1.034e+1	-15.0
8.252e+3	1.024e+1	-3.041e+0	1.068e+1	-16.5
6.812e+3	1.052e+1	-3.441e+0	1.107e+1	-18.1
5.625e+3	1.082e+1	-3.887e+0	1.150e+1	-19.8
4.643e+3	1.115e+1	-4.386e+0	1.198e+1	-21.5
3.833e+3	1.150e+1	-4.948e+0	1.252e+1	-23.3
3.164e+3	1.190e+1	-5.579e+0	1.314e+1	-25.1
2.612e+3	1.234e+1	-6.292e+0	1.385e+1	-27.0
2.153e+3	1.281e+1	-7.109e+0	1.465e+1	-29.0
1.777e+3	1.333e+1	-8.036e+0	1.556e+1	-31.1
1.470e+3	1.390e+1	-9.101e+0	1.661e+1	-33.2
1.211e+3	1.452e+1	-1.033e+1	1.782e+1	-35.4
1.001e+3	1.519e+1	-1.173e+1	1.919e+1	-37.7
8.252e+2	1.593e+1	-1.335e+1	2.078e+1	-40.0
6.836e+2	1.677e+1	-1.525e+1	2.267e+1	-42.3
5.615e+2	1.769e+1	-1.750e+1	2.488e+1	-44.7
4.639e+2	1.868e+1	-2.017e+1	2.749e+1	-47.2
3.809e+2	1.975e+1	-2.326e+1	3.051e+1	-49.7
3.174e+2	2.092e+1	-2.691e+1	3.409e+1	-52.1
2.588e+2	2.222e+1	-3.125e+1	3.834e+1	-54.6
2.148e+2	2.367e+1	-3.639e+1	4.341e+1	-57.0
1.758e+2	2.529e+1	-4.243e+1	4.939e+1	-59.2
1.465e+2	2.704e+1	-4.934e+1	5.626e+1	-61.3
1.221e+2	2.915e+1	-5.789e+1	6.482e+1	-63.3
9.766e+1	3.172e+1	-6.789e+1	7.493e+1	-65.0
8.254e+1	3.467e+1	-7.935e+1	8.660e+1	-66.4
6.813e+1	3.797e+1	-9.313e+1	1.006e+2	-67.8
5.623e+1	4.167e+1	-1.095e+2	1.171e+2	-69.2
4.642e+1	4.599e+1	-1.291e+2	1.370e+2	-70.4
3.831e+1	5.110e+1	-1.524e+2	1.607e+2	-71.5
3.162e+1	5.704e+1	-1.800e+2	1.888e+2	-72.4
2.610e+1	6.406e+1	-2.126e+2	2.220e+2	-73.2
2.154e+1	7.242e+1	-2.511e+2	2.613e+2	-73.9
1.778e+1	8.231e+1	-2.965e+2	3.078e+2	-74.5
1.468e+1	9.418e+1	-3.502e+2	3.627e+2	-74.9
1.212e+1	1.084e+2	-4.137e+2	4.277e+2	-75.3
1.000e+1	1.258e+2	-4.890e+2	5.049e+2	-75.6
8.254e+0	1.471e+2	-5.780e+2	5.964e+2	-75.7
6.813e+0	1.725e+2	-6.830e+2	7.045e+2	-75.8
5.623e+0	2.031e+2	-8.067e+2	8.319e+2	-75.9
4.642e+0	2.396e+2	-9.526e+2	9.823e+2	-75.9
3.831e+0	2.841e+2	-1.123e+3	1.159e+3	-75.8
3.162e+0	3.379e+2	-1.324e+3	1.366e+3	-75.7
2.610e+0	4.032e+2	-1.560e+3	1.611e+3	-75.5
2.154e+0	4.749e+2	-1.844e+3	1.904e+3	-75.6
1.778e+0	5.552e+2	-2.177e+3	2.247e+3	-75.7
1.468e+0	6.527e+2	-2.557e+3	2.639e+3	-75.7
1.212e+0	7.705e+2	-2.990e+3	3.088e+3	-75.5
1.000e+0	9.124e+2	-3.489e+3	3.606e+3	-75.3
8.254e-1	1.076e+3	-4.060e+3	4.200e+3	-75.2
6.813e-1	1.258e+3	-4.718e+3	4.883e+3	-75.1
5.623e-1	1.455e+3	-5.490e+3	5.680e+3	-75.2
4.642e-1	1.673e+3	-6.400e+3	6.615e+3	-75.3
3.831e-1	1.917e+3	-7.471e+3	7.713e+3	-75.6
3.162e-1	2.190e+3	-8.737e+3	9.008e+3	-75.9
2.610e-1	2.503e+3	-1.024e+4	1.054e+4	-76.3
2.154e-1	2.867e+3	-1.201e+4	1.235e+4	-76.6
1.778e-1	3.284e+3	-1.408e+4	1.446e+4	-76.9
1.468e-1	3.755e+3	-1.649e+4	1.691e+4	-77.2
1.212e-1	4.343e+3	-1.941e+4	1.989e+4	-77.4
1.000e-1	5.072e+3	-2.288e+4	2.344e+4	-77.5
