temperature_C,rb_code_ohm,rb_manual_ohm,delta_rb_ohm
-60.0,11600.900391,11484.0,116.90039099999922
-57.0,8517.980469,8389.0,128.98046900000008
-54.0,4450.810059,4501.0,-50.189940999999635
-51.0,2988.25,3027.0,-38.75
-48.0,2110.780029,2141.0,-30.219970999999987
-45.0,1671.76001,1671.0,0.7600099999999657
-42.0,783.771973,753.4,30.371973000000025
-39.0,589.689026,565.9,23.789026000000035
-36.0,373.188995,361.6,11.588994999999954
-33.0,247.807999,241.2,6.607999000000007
-30.0,172.5320055,171.4,1.1320054999999911
-27.0,55.04336779853141,40.16,14.883367798531417
-24.0,3.2365547943491633,3.091,0.14555479434916307
-21.0,2.9020637044287767,2.777,0.12506370442877657
-18.0,2.7576090110533635,2.63,0.12760901105336364
-15.0,2.5792912640538743,2.468,0.11129126405387435
-12.0,2.4001658801765258,2.295,0.10516588017652584
-9.0,2.4129111031871346,2.3,0.11291110318713482
-6.0,2.2333153989500896,2.135,0.09831539895008978
-3.0,2.2391170948554984,2.139,0.10011709485549858
0.0,2.2201750520987673,2.122,0.09817505209876742
3.0,2.1301246910448004,2.046,0.08412469104480058
6.0,1.9849670684060767,1.912,0.07296706840607681
9.0,2.1687557798234742,2.055,0.11375577982347407
12.0,2.124339066918162,2.049,0.07533906691816217
15.0,2.126757629690833,2.051,0.07575762969083266
18.0,2.104181031203566,2.035,0.06918103120356589
