frequency_hz,z_real_ohm_cm2,z_imag_ohm_cm2,sample_id,target_temperature_C,actual_temperature_C,source_file
307200.0,-1.51914,2.80674,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
276480.0,-0.954331,2.1935,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
197486.0,-0.227365,1.55881,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
153600.0,0.087582,1.17613,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
125673.0,0.242576,0.934562,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
98742.898438,0.373816,0.707682,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
76800.0,0.449207,0.516233,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
60104.300781,0.50876,0.312195,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
49371.398438,0.528005,0.210001,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
38400.0,0.542177,0.086061,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
30052.199219,0.557967,-0.026761,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
23834.5,0.570829,-0.133006,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
18681.099609,0.58811,-0.247515,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
14706.400391,0.607878,-0.368939,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
