frequency_hz,z_real_ohm_cm2,z_imag_ohm_cm2,sample_id,target_temperature_C,actual_temperature_C,source_file
307200.0,-1.80329,3.17242,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
276480.0,-1.13463,2.28416,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
197486.0,-0.253204,1.59293,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
153600.0,0.089312,1.17463,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
125673.0,0.317835,0.900506,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
98742.898438,0.48266,0.668017,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
76800.0,0.594861,0.479917,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
60104.300781,0.678576,0.289109,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
49371.398438,0.695423,0.178492,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
38400.0,0.713672,0.047918,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
30052.199219,0.729297,-0.073723,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
23834.5,0.745765,-0.18803,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
18681.099609,0.765541,-0.314709,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
14706.400391,0.788526,-0.450087,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
11520.0,0.816828,-0.606257,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
9600.0,0.841333,-0.739339,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
7513.040039,0.881713,-0.94842,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
5760.0,0.930966,-1.22347,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
4547.370117,0.988733,-1.52425,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
3600.0,1.05717,-1.88837,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
2880.0,1.13845,-2.31155,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
2273.679932,1.23361,-2.84122,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
1781.439941,1.37442,-3.53273,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
1416.390015,1.54378,-4.32949,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
1122.079956,1.76247,-5.32669,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
900.0,2.03577,-6.48598,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
720.0,2.3813,-7.88398,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
568.421021,2.85877,-9.68641,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
440.81601,3.54096,-12.085,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
354.097992,4.29787,-14.5692,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
276.923004,5.39793,-17.897699,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
220.408005,6.7027,-21.5986,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
174.194,8.40925,-26.125099,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
137.580002,10.553,-31.486099,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
109.091003,13.1479,-37.7108,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
87.096802,16.167801,-44.827202,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
68.354401,20.093399,-54.056499,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
54.545502,24.5098,-62.885399,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
42.857101,29.8412,-74.945602,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
33.962299,35.196701,-88.699501,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
26.8657,42.253899,-105.625,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
21.343901,50.136799,-125.268997,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
17.307699,58.392799,-146.735001,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
13.6364,68.892097,-175.485992,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
10.7143,81.096603,-210.643997,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
8.49057,94.447197,-251.688004,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
6.71642,109.708,-301.859009,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
5.29412,127.075996,-363.628998,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
4.16667,146.660004,-440.145996,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
3.30882,167.399994,-530.413025,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
2.61628,190.807007,-643.241028,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
2.07373,215.932007,-781.633972,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
1.64234,243.302994,-954.052979,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
1.30058,273.830994,-1168.880005,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
1.03211,307.322998,-1435.130005,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
0.815217,346.472992,-1773.73999,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
0.646552,383.878998,-2175.679932,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
0.511364,433.010986,-2714.27002,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
0.407609,497.694,-3349.209961,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
0.321429,574.518005,-4203.370117,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
0.254525,676.379028,-5222.72998,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
0.201613,796.322998,-6493.120117,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
0.159574,955.791992,-8085.459961,2026.5.9CS,-21.0,-21.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-21.0C_seq005.txt
