sample_id,material_branch,temperature_C,temperature_K,rb_auto_ohm,rb_manual_ohm,rb_selected_ohm,rb_selection_source,rb_delta_pct_vs_manual,abs_rb_delta_pct_vs_manual,selected_conductivity_s_cm,formal_thickness_cm,area_cm2,qc_tier,claim_allowed,qc_note,sequence_direction_inferred,sequence_warning,geometry_conflict
2026.4.25CS,LRS/PVA/attapulgite/H3PO4,18,291.15,3.4703733,3.4893333,3.4893333,manual,-0.543371,0.543371,0.014621821,0.1,1.96,support/control,no,supporting branch or control sample,nonmonotonic_or_filename_sorted,sequence_order_not_sufficient_for_hysteresis_claim,False
2026.4.25CS,LRS/PVA/attapulgite/H3PO4,15,288.15,3.8555655,3.919,3.919,manual,-1.61864,1.61864,0.013018731,0.1,1.96,support/control,no,supporting branch or control sample,nonmonotonic_or_filename_sorted,sequence_order_not_sufficient_for_hysteresis_claim,False
2026.4.25CS,LRS/PVA/attapulgite/H3PO4,12,285.15,4.3652401,4.432,4.432,manual,-1.50632,1.50632,0.011511825,0.1,1.96,support/control,no,supporting branch or control sample,nonmonotonic_or_filename_sorted,sequence_order_not_sufficient_for_hysteresis_claim,False
2026.4.25CS,LRS/PVA/attapulgite/H3PO4,9,282.15,4.4002049,4.468,4.468,manual,-1.51735,1.51735,0.011419071,0.1,1.96,support/control,no,supporting branch or control sample,nonmonotonic_or_filename_sorted,sequence_order_not_sufficient_for_hysteresis_claim,False
2026.4.25CS,LRS/PVA/attapulgite/H3PO4,6,279.15,4.3563138,4.4495,4.4495,manual,-2.09431,2.09431,0.011466549,0.1,1.96,support/control,no,supporting branch or control sample,nonmonotonic_or_filename_sorted,sequence_order_not_sufficient_for_hysteresis_claim,False
2026.4.25CS,LRS/PVA/attapulgite/H3PO4,3,276.15,4.5809761,4.6815,4.6815,manual,-2.14726,2.14726,0.010898304,0.1,1.96,support/control,no,supporting branch or control sample,nonmonotonic_or_filename_sorted,sequence_order_not_sufficient_for_hysteresis_claim,False
2026.4.25CS,LRS/PVA/attapulgite/H3PO4,0,273.15,5.1172135,5.2495,5.2495,manual,-2.51998,2.51998,0.0097190986,0.1,1.96,support/control,no,supporting branch or control sample,nonmonotonic_or_filename_sorted,sequence_order_not_sufficient_for_hysteresis_claim,False
2026.4.25CS,LRS/PVA/attapulgite/H3PO4,-3,270.15,5.461374,5.58,5.58,manual,-2.12591,2.12591,0.0091434423,0.1,1.96,support/control,no,supporting branch or control sample,nonmonotonic_or_filename_sorted,sequence_order_not_sufficient_for_hysteresis_claim,False
2026.4.25CS,LRS/PVA/attapulgite/H3PO4,-6,267.15,6.0931997,6.2185,6.2185,manual,-2.01496,2.01496,0.0082046166,0.1,1.96,support/control,no,supporting branch or control sample,nonmonotonic_or_filename_sorted,sequence_order_not_sufficient_for_hysteresis_claim,False
2026.4.25CS,LRS/PVA/attapulgite/H3PO4,-9,264.15,6.8301596,6.9765,6.9765,manual,-2.09762,2.09762,0.0073131811,0.1,1.96,support/control,no,supporting branch or control sample,nonmonotonic_or_filename_sorted,sequence_order_not_sufficient_for_hysteresis_claim,False
