file,exists,size_bytes,sha256
recipe.json,True,281,6136316f497111cddc4d73b272a29220716326550c6a57c68e6cb6111d16f643
round_status.json,True,833,85869154ffe8406ea6604964c554d9cfbbb317168904995a1cab4ff2d652fad8
lab_execution_packet.json,True,1177,089f74fa2aba25802b71fef3dc39521a1a6f86fe56d6da0d96ee43918294db91
lab_execution_sheet.md,True,1204,a9bcade8883abab02658a1b6f192b8daea07bbd6d3892578632f657b2ae8de83
material_calculation.csv,True,220,3f20ad6b1b47fb7a8a2112a45e17bb6752d55105b6feafb9f200ed182770901e
measurement_sequence_template.csv,True,1390,e5bf58e8d51e8d03acd56f185823ca1186429445639bc75b438410b00f6dfc84
raw_data_manifest_template.csv,True,1903,54724cd98d427f0bcb333e917b9f7cc65572c9ff9f49d6dd62ad4745731a163b
sample_label_sheet.csv,True,281,25d5ea9ba54258195e68e1d356deec98690d8bd02bbd2374fdbdd7653c08b395
approval_form_to_sign.md,True,1639,ad43feafefb8a5763472fccd7e4df1b9e8c2790485548deec7dde34910ec52f3
eis_acquisition_checklist.md,True,902,45cdba662f19152ec50420ea8f82f1741d962e2c203a9f2254d75b252f997ae3
chi_eis_preflight_gate.json,True,612,b58234a989286ff8f6b948130c6ee5294d0ffdaec4c3a31cecb2b67efcfedd18
human_approval_template.md,True,502,8b2e27014799f7f093517412df14371b8f021c6ace05adb4acb91eb854ec26c5
result_intake_template.json,True,1173,756a6e474e926b3d12d295324e2b8c123ea09585153838dcdc8958855afe3d9f
score_template.json,True,449,2b49a0ac22ca42730c3ddc7eb3322131ed5b981d792a17183fc0884d558ba9a7
