sample_id,target_temperature_C,actual_temperature_C,raw_file_name,raw_file_sha256,export_time,operator_note
BOv2-v2-R3-R0.64-N1.04-<date>-rep1,20,,BOv2-v2-R3-R0.64-N1.04-<date>-rep1_T+20.0_f0.1_1000000_V0.txt,,,
BOv2-v2-R3-R0.64-N1.04-<date>-rep1,15,,BOv2-v2-R3-R0.64-N1.04-<date>-rep1_T+15.0_f0.1_1000000_V0.txt,,,
BOv2-v2-R3-R0.64-N1.04-<date>-rep1,10,,BOv2-v2-R3-R0.64-N1.04-<date>-rep1_T+10.0_f0.1_1000000_V0.txt,,,
BOv2-v2-R3-R0.64-N1.04-<date>-rep1,5,,BOv2-v2-R3-R0.64-N1.04-<date>-rep1_T+5.0_f0.1_1000000_V0.txt,,,
BOv2-v2-R3-R0.64-N1.04-<date>-rep1,0,,BOv2-v2-R3-R0.64-N1.04-<date>-rep1_T+0.0_f0.1_1000000_V0.txt,,,
BOv2-v2-R3-R0.64-N1.04-<date>-rep1,-5,,BOv2-v2-R3-R0.64-N1.04-<date>-rep1_T-5.0_f0.1_1000000_V0.txt,,,
BOv2-v2-R3-R0.64-N1.04-<date>-rep1,-10,,BOv2-v2-R3-R0.64-N1.04-<date>-rep1_T-10.0_f0.1_1000000_V0.txt,,,
BOv2-v2-R3-R0.64-N1.04-<date>-rep1,-15,,BOv2-v2-R3-R0.64-N1.04-<date>-rep1_T-15.0_f0.1_1000000_V0.txt,,,
BOv2-v2-R3-R0.64-N1.04-<date>-rep1,-20,,BOv2-v2-R3-R0.64-N1.04-<date>-rep1_T-20.0_f0.1_1000000_V0.txt,,,
BOv2-v2-R3-R0.64-N1.04-<date>-rep1,-25,,BOv2-v2-R3-R0.64-N1.04-<date>-rep1_T-25.0_f0.1_1000000_V0.txt,,,
BOv2-v2-R3-R0.64-N1.04-<date>-rep1,-30,,BOv2-v2-R3-R0.64-N1.04-<date>-rep1_T-30.0_f0.1_1000000_V0.txt,,,
BOv2-v2-R3-R0.64-N1.04-<date>-rep1,-35,,BOv2-v2-R3-R0.64-N1.04-<date>-rep1_T-35.0_f0.1_1000000_V0.txt,,,
BOv2-v2-R3-R0.64-N1.04-<date>-rep1,-40,,BOv2-v2-R3-R0.64-N1.04-<date>-rep1_T-40.0_f0.1_1000000_V0.txt,,,
BOv2-v2-R3-R0.64-N1.04-<date>-rep1,-50,,BOv2-v2-R3-R0.64-N1.04-<date>-rep1_T-50.0_f0.1_1000000_V0.txt,,,
BOv2-v2-R3-R0.64-N1.04-<date>-rep1,-60,,BOv2-v2-R3-R0.64-N1.04-<date>-rep1_T-60.0_f0.1_1000000_V0.txt,,,
BOv2-v2-R3-R0.64-N1.04-<date>-rep1,-70,,BOv2-v2-R3-R0.64-N1.04-<date>-rep1_T-70.0_f0.1_1000000_V0.txt,,,
BOv2-v2-R3-R0.64-N1.04-<date>-rep1,-80,,BOv2-v2-R3-R0.64-N1.04-<date>-rep1_T-80.0_f0.1_1000000_V0.txt,,,
