file,exists,size_bytes,sha256
recipe.json,True,315,2268d0ddc2c8d02eb6ebae160e669e1b57efd690910b534c68580b9718ae198f
round_status.json,True,852,cfaf72bef12880482696fae9e92e981ea918c6a629e82872e85519376d1b0fea
lab_execution_packet.json,True,1190,2c270beb9a3e3add6823f94c3d957f95048d214d171ca7ce47287e4cd205c9b8
lab_execution_sheet.md,True,1212,66e8bc7068993d6a6aa74ceee67372b06c5a8ca3cc2fadf0339cd5504db07823
material_calculation.csv,True,220,cc4033e7de3270a50b0d6aea7d2ffea4549907126cdcf355b56088ae24686d29
measurement_sequence_template.csv,True,1390,c8d31d9b33e03bf861f62b1a9a407fb18bce7c267f11db80809be423ca1ec6fa
raw_data_manifest_template.csv,True,1903,c35950e0cb9d85cba6583858955c62bf9ebc5a7136da7f702190a90914fddc5e
sample_label_sheet.csv,True,281,c98a11932d40a6a729590630fa6ebd0e7b3d560b8e80499f6db44c271a23d52f
approval_form_to_sign.md,True,1639,59e88ee6a86cda81064faacdb0e7d5557745e4c686ea67f5e858e58ab951d4ae
eis_acquisition_checklist.md,True,902,d358dff90746ae5aabd548d003a198dcb5fbcaaf5f147a49c66081376fd4312f
chi_eis_preflight_gate.json,True,612,3b17b48f6f421e8de348fc0e220502b4f8e6ee8a8041efb505096f22d9200411
human_approval_template.md,True,507,8a557ffb0635062c19f1f1dc4204864fc157a78c8d9abef444ca120ef01580b0
result_intake_template.json,True,1178,5df72db4946b933dd82ae23457d89f1615a61429d9aa519312261f11181b2a8c
score_template.json,True,449,bcc519627610ced4f79f9d53ee415ef5601538d5e6690aa990ed78c2cb1c75a0
